Employee_ID,Training Date,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
1001,2018-09-20,Internal,Failed,Port Greg,Amanda Daniels,4,510.83
1002,2022-02-11,Internal,Failed,Brandonview,Brittany Chambers,2,582.37
1003,2017-12-10,Internal,Incomplete,Port Briannahaven,Mark Roberson,4,777.06
1004,2020-06-21,Internal,Completed,Knightborough,Richard Fisher,2,824.3
1005,2018-06-29,External,Passed,Bruceshire,Heather Shaffer,4,145.99
1006,2019-01-17,Internal,Failed,Erinfort,Michael Duke,2,838.07
1007,2021-04-06,External,Failed,New Christopher,Virginia Clayton DVM,2,667.32
1008,2019-11-06,External,Incomplete,Lowemouth,Erica Maxwell,2,758.18
1009,2017-08-18,Internal,Incomplete,Johnland,Katelyn Hartman,2,101.21
1010,2021-01-21,External,Incomplete,Lake Kimfurt,Rhonda Clark,5,332.25
1011,2022-08-04,Internal,Completed,Smithshire,Natalie Fields,1,803.98
1012,2017-08-10,External,Failed,Howardburgh,Theresa Martinez,3,887.08
1013,2021-05-25,External,Incomplete,East Jessicatown,Michael Marks,2,657.85
1014,2018-12-05,External,Incomplete,Watersview,Rachel Jones,2,895.49
1015,2018-04-28,External,Passed,Port Ninaland,Jennifer Olson,1,539
1016,2018-07-09,External,Completed,Lake Stuartfurt,Eric Johnson,2,606.68
1017,2020-04-05,External,Passed,Cooleybury,Joseph Mcintyre,3,265.73
1018,2020-11-28,Internal,Incomplete,Larsonborough,Whitney Morgan DVM,2,673.29
1019,2020-01-16,External,Passed,Powellland,Jon Garcia,5,436.98
1020,2020-08-24,External,Passed,Chadport,Nicole Taylor,4,578.58
1021,2019-05-26,Internal,Failed,Patrickhaven,Crystal Nelson,1,647.16
1022,2018-10-01,Internal,Failed,Lindseyburgh,Kevin Nichols,1,664.23
1023,2022-05-10,Internal,Failed,West Justinborough,Angela Good,4,893.07
1024,2019-09-01,External,Completed,Hullmouth,Keith Curtis,5,868.98
1025,2020-02-18,Internal,Incomplete,Thompsonbury,Nina Rodriguez,5,761.95
